Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_121,VGND,li1,61.4100,70.7200,0.000004
FILLER_22_111,VGND,li1,56.8100,70.7200,0.000004
FILLER_22_96,VGND,li1,49.9100,70.7200,0.000004
FILLER_22_93,VGND,li1,48.9900,70.7200,0.000004
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000004
FILLER_22_55,VGND,li1,31.0500,70.7200,0.000004
FILLER_22_44,VGND,li1,26.4500,70.7200,0.000003
FILLER_22_41,VGND,li1,25.0700,70.7200,0.000003
FILLER_22_38,VGND,li1,23.6900,70.7200,0.000003
FILLER_22_35,VGND,li1,22.3100,70.7200,0.000003
FILLER_22_32,VGND,li1,20.9300,70.7200,0.000003
FILLER_22_29,VGND,li1,19.5500,70.7200,0.000003
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000003
FILLER_22_24,VGND,li1,17.2500,70.7200,0.000003
FILLER_22_21,VGND,li1,15.8700,70.7200,0.000003
FILLER_21_116,VGND,li1,59.5700,70.7200,0.000004
FILLER_21_113,VGND,li1,58.1900,70.7200,0.000004
FILLER_21_95,VGND,li1,49.6800,70.7200,0.000004
FILLER_21_92,VGND,li1,48.5300,70.7200,0.000004
FILLER_21_83,VGND,li1,44.1600,70.7200,0.000004
FILLER_21_73,VGND,li1,39.5600,70.7200,0.000004
FILLER_21_57,VGND,li1,31.9700,70.7200,0.000004
FILLER_21_53,VGND,li1,30.5900,70.7200,0.000003
FILLER_21_24,VGND,li1,16.7900,70.7200,0.000003
FILLER_21_21,VGND,li1,15.8700,70.7200,0.000003
FILLER_21_18,VGND,li1,14.4900,70.7200,0.000003
FILLER_21_15,VGND,li1,13.1100,70.7200,0.000003
FILLER_20_122,VGND,li1,62.3300,65.2800,0.000043
FILLER_20_85,VGND,li1,45.3100,65.2800,0.000039
FILLER_20_81,VGND,li1,43.4700,65.2800,0.000037
FILLER_20_78,VGND,li1,42.0900,65.2800,0.000037
FILLER_20_58,VGND,li1,32.8900,65.2800,0.000028
FILLER_20_55,VGND,li1,31.5100,65.2800,0.000028
FILLER_20_29,VGND,li1,19.5500,65.2800,0.000019
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000019
FILLER_20_24,VGND,li1,17.2500,65.2800,0.000019
FILLER_20_21,VGND,li1,15.8700,65.2800,0.000019
FILLER_20_18,VGND,li1,14.4900,65.2800,0.000019
FILLER_20_15,VGND,li1,13.1100,65.2800,0.000019
FILLER_20_12,VGND,li1,11.7300,65.2800,0.000019
FILLER_19_125,VGND,li1,63.7100,65.2800,0.000043
FILLER_19_122,VGND,li1,62.3300,65.2800,0.000043
FILLER_19_113,VGND,li1,57.7300,65.2800,0.000043
FILLER_19_109,VGND,li1,56.3500,65.2800,0.000043
FILLER_19_100,VGND,li1,51.9800,65.2800,0.000042
FILLER_19_97,VGND,li1,50.8300,65.2800,0.000042
FILLER_19_87,VGND,li1,46.0000,65.2800,0.000039
FILLER_19_84,VGND,li1,44.8500,65.2800,0.000039
FILLER_19_57,VGND,li1,32.2000,65.2800,0.000028
